Indian Institute of Technology Bhubaneswar,A4109,Civil Engineering,4433,4960,1690,2088,832,1110,291,358,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M4127,Metallurgical and Materials Engineering,1709,3310,1166,1729,587,904,508,621,0,8,92,108,0,0,0,0
Indian Institute of Technology Madras,M4132,Naval Architecture and Ocean Engineering,2418,3778,897,1686,507,894,150,395,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5201,Aerospace Engineering,2273,2583,482,1249,546,546,351,351,13,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5202,Aerospace Engineering with M.Tech. in Applied Mechanicswith specialization in Biomedical Engineering,1703,2578,1364,1375,664,664,367,367,96,13,0,0,0,0,0,0
Indian Institute of Technology Madras,M5207,Biological Engineering,1512,4947,1777,2704,1142,1420,622,858,66,96,0,0,0,0,0,0
Indian Institute of Technology Madras,M5210,Chemical Engineering,2133,2571,1204,1370,737,820,370,370,0,66,0,0,0,0,0,0
Indian Institute of Technology Madras,M5212,Civil Engineering with M.Tech. in Applied Mechanics inany of the listed specializations,2678,2815,1433,1435,651,651,0,0,128,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5213,Civil Engineering (Infrastructural Civil Engineering),2175,2769,1131,1350,581,603,305,305,0,128,0,0,0,0,0,0
Indian Institute of Technology Madras,M5215,Civil Engineering with any of the listed specialization,2896,2972,1318,1432,589,626,334,334,125,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5216,Computer Science and Engineering,291,548,293,398,177,271,133,184,0,125,0,0,0,0,0,0
Indian Institute of Technology Madras,M5217,Electrical Engineering,548,982,319,540,208,471,178,290,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5218,Electrical Engineering with M.Tech in Applied Mechanicswith specialization in Biomedical Engineering,1001,1122,597,628,522,565,0,0,78,0,122,122,0,0,0,0
Indian Institute of Technology Madras,M5227,Engineering Design (Automotive Engineering),1394,2814,900,1487,509,972,368,385,0,78,0,0,0,0,0,0
Indian Institute of Technology Madras,M5228,Engineering Design (Biomedical Design),3014,3424,1731,1861,983,1038,666,666,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5236,Mechanical Engineering (Thermal Engineering),1187,1350,647,760,479,553,265,300,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5237,Mechanical Engineering (Intelligent Manufacturing),904,1176,381,581,305,477,321,322,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5238,Mechanical Engineering (Product design),924,1208,511,618,220,379,132,297,72,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5241,Metallurgical and Materials Engineering,3547,3915,1896,1925,928,986,637,637,0,72,0,0,0,0,0,0
Indian Institute of Technology Madras,M5249,Naval Architecture and Ocean Engineering,3791,4055,1343,1987,897,1047,0,0,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5250,Naval Architecture and Ocean Engineering with M.Techin Applied Mechanics in any of the listed specializations,3794,4184,1762,1885,861,861,655,655,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5601,Biological Sciences,2445,6894,3203,3511,1536,1725,889,1003,0,0,0,0,0,0,0,0
Indian Institute of Technology Madras,M5602,Physics,2080,3376,2485,2637,1185,1185,804,804,0,0,0,0,0,0,0,0
Indian Institute of Technology Gandhinagar,N4107,Chemical Engineering,3408,4485,1807,2268,1115,1208,529,555,0,0,0,0,0,0,0,0
Indian Institute of Technology Gandhinagar,N4111,Electrical Engineering,2425,3320,1133,1584,663,829,346,397,0,0,0,0,0,0,0,0
Indian Institute of Technology Gandhinagar,N4125,Mechanical Engineering,2262,3541,1330,1572,712,890,264,386,114,0,0,0,0,0,0,0
Indian Institute of Technology Patna,P4110,Computer Science and Engineering,3008,4409,1514,1961,888,1065,509,538,161,114,0,0,0,0,0,0
Indian Institute of Technology Patna,P4111,Electrical Engineering,4022,4735,1830,2065,1039,1124,371,504,0,161,0,0,0,0,0,0
Indian Institute of Technology Patna,P4125,Mechanical Engineering,4442,4863,1663,2209,962,1093,456,522,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4104,Biotechnology,4209,5378,2227,2653,887,1361,698,799,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4107,Chemical Engineering,1804,2939,1246,1467,612,745,333,404,150,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4109,Civil Engineering,1776,2761,762,1267,304,520,73,203,82,150,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4110,Computer Science and Engineering,432,961,318,469,116,277,128,187,23,84,162,162,0,0,0,0
Indian Institute of Technology Roorkee,R4111,Electrical Engineering,1033,1681,210,696,206,378,70,180,68,23,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4114,Electronics and Communication Engineering,967,1293,394,640,217,403,152,220,48,69,112,112,134,134,0,0
Indian Institute of Technology Roorkee,R4125,Mechanical Engineering,984,1763,410,728,239,315,116,170,73,48,140,140,0,0,0,0
Indian Institute of Technology Roorkee,R4127,Metallurgical and Materials Engineering,2966,4440,1749,2375,989,1241,547,686,0,73,151,151,0,0,0,0
Indian Institute of Technology Roorkee,R4135,Polymer Science and Technology,4515,5930,2060,2603,1222,1422,761,796,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4136,Production and Industrial Engineering,2002,3357,1301,1778,744,1029,363,537,139,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R4137,Pulp and Paper Engineering,5066,6832,2576,2900,1395,1556,816,872,0,139,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5101,Architecture,3863,7197,2689,4334,1487,1763,0,0,77,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5211,Chemical Engineering with M.Tech. in HydrocarbonEngineering,3034,3390,1503,1774,863,948,496,501,159,77,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5214,Civil Engineering with M.Tech. in Structural Engineering,2448,3011,755,1430,524,569,122,122,0,159,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5223,Electrical Engineering with M.Tech. in Power Electronics,1734,1914,749,835,480,529,190,190,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5224,Electronics and Communication Engineering withM.Tech. in Wireless Communication,1369,1783,712,889,427,464,258,312,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5242,Metallurgical and Materials Engineering with M.Tech. inMaterials Engineering,4507,4825,2293,2419,1230,1281,676,676,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5302,Geological Technology,4383,5842,1661,2910,1135,1637,910,930,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5303,Geophysical Technology,3954,5216,2498,3153,1608,1698,793,875,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5403,Process Engineering with MBA,4413,6041,2084,3071,1359,1561,806,869,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5502,Applied Mathematics,3399,5340,2619,3495,1563,1738,739,972,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5503,Chemistry,5485,6547,3473,3526,1388,1709,943,970,0,0,0,0,0,0,0,0
Indian Institute of Technology Roorkee,R5507,Physics,4574,6002,2823,3383,1674,1741,593,950,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4107,Chemical Engineering,4775,6016,2259,2342,1218,1226,581,606,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4110,Computer Science and Engineering,2288,5093,813,1836,611,1205,488,583,103,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4111,Electrical Engineering,3023,5720,1422,2218,578,1186,400,523,137,103,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4114,Electronics and Communication Engineering,3546,5744,996,2285,991,1215,435,548,131,137,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4119,Environmental Engineering,6479,6961,2347,3130,1404,1656,639,822,0,131,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4125,Mechanical Engineering,3854,5667,1235,2181,879,1154,390,526,65,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4129,Mineral Engineering,6377,6893,2518,2979,1408,1613,704,792,0,65,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4130,Mining Engineering,5012,6665,1439,2701,975,1371,432,661,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4131,Mining Machinery Engineering,5823,6789,1211,2999,1339,1526,672,790,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S4134,Petroleum Engineering,2818,5616,1394,2473,788,1274,354,652,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5246,Mineral Engineering with M.Tech in Mineral Engineering,6742,6956,2889,3182,1447,1658,797,797,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5247,Mining Engineering with M.Tech. in Mining Engineering,5882,6705,2557,2961,1342,1436,553,553,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5252,Petroleum Engineering with M.Tech in PetroleumManagement,5040,6003,2296,2461,1179,1315,510,510,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5305,Mathematics and Computing,5134,6381,2318,2813,1261,1471,699,818,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5401,Mineral Engineering with MBA,6529,6986,3198,3325,1659,1714,901,901,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5402,Mining Engineering with MBA,6334,6932,2623,3208,1455,1568,544,544,0,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5701,Applied Geology,6093,7024,3364,3579,1736,1745,995,996,99,0,0,0,0,0,0,0
Indian School of Mines Dhanbad,S5702,Applied Geophysics,6403,7018,3530,3583,1663,1719,992,1002,0,99,0,0,0,0,0,0
Indian Institute of Technology Ropar,U4110,Computer Science and Engineering,1938,2886,829,1346,517,936,298,482,0,0,0,0,0,0,0,0
Indian Institute of Technology Ropar,U4111,Electrical Engineering,2910,3862,1489,1880,1003,1073,240,369,0,0,0,0,0,0,0,0
Indian Institute of Technology Ropar,U4125,Mechanical Engineering,3396,4309,1434,2007,911,1002,406,475,130,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4106,Ceramic Engineering,5121,6411,2254,2859,1273,1568,724,743,0,130,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4107,Chemical Engineering,3024,4258,1540,2162,795,1044,411,546,167,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4109,Civil Engineering,2993,3636,1298,1537,624,812,227,281,0,167,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4110,Computer Science and Engineering,1085,1849,466,886,352,597,197,296,27,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4111,Electrical Engineering,1789,2799,784,1155,562,723,221,294,119,27,118,118,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4113,Electronics Engineering,1791,2684,857,1272,405,783,345,399,0,119,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4125,Mechanical Engineering,1818,2959,739,1287,439,726,238,339,71,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4126,Metallurgical Engineering,4192,5075,1955,2539,1228,1346,680,719,0,126,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4130,Mining Engineering,4516,6406,2373,2986,1132,1515,685,723,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V4301,Pharmaceutics,6964,7119,3354,3606,1731,1770,988,1005,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5204,Biochemical Engineering,5802,6419,2997,3185,1592,1669,827,881,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5206,Bioengineering with M.Tech in Biomedical Technology,5007,6563,3194,3260,1508,1680,887,888,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5209,Ceramic Engineering,6042,6795,2993,3176,1505,1641,884,890,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5214,Civil Engineering with M.Tech. in Structural Engineering,3185,3831,1601,1677,826,881,375,391,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5216,Computer Science and Engineering,1855,2136,984,1029,649,679,430,430,57,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5223,Electrical Engineering with M.Tech. in Power Electronics,2156,3025,1273,1333,772,797,336,359,0,57,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5232,Material Science and Technology,4808,5533,2388,2739,1340,1546,460,823,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5233,Mechanical Engineering,2962,3157,1334,1396,533,764,364,379,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5240,Metallurgical Engineering,5089,5391,2486,2857,1416,1500,740,753,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5247,Mining Engineering,5954,6673,3042,3115,1427,1544,833,856,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5301,Engineering Physics,3717,4690,1417,2563,1173,1344,592,839,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5304,Industrial Chemistry,6038,6614,2684,3261,1489,1557,880,882,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5305,Mathematics and Computing,3045,3411,1864,2152,824,1260,682,729,0,0,0,0,0,0,0,0
Institute of Technology Banaras Hindu University Varanasi,V5801,Pharmaceutics,6917,7116,3603,3620,1672,1767,975,1009,0,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4104,Biotechnology,4476,5834,2284,2882,1285,1469,584,801,0,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4107,Chemical Engineering,2975,3629,1494,1698,769,896,335,426,0,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4108,Chemical Science and Technology,2397,4342,1666,2136,635,1004,551,564,0,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4109,Civil Engineering,2845,3545,1085,1383,563,734,209,274,121,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4110,Computer Science and Engineering,775,1367,334,705,268,484,155,286,38,121,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4114,Electronics and Communication Engineering,1392,1973,699,1026,418,640,171,299,90,38,87,87,0,0,0,0
Indian Institute of Technology Guwahati,W4116,Electronics and Electrical Engineering,1461,2131,682,1043,560,656,232,285,0,90,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4117,Engineering Physics,2224,4042,1620,2101,1011,1148,569,597,0,0,158,158,0,0,0,0
Indian Institute of Technology Guwahati,W4124,Mathematics and Computing,1770,3048,834,1559,600,917,382,560,115,0,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4125,Mechanical Engineering,1504,2498,741,1000,319,559,199,229,81,115,0,0,0,0,0,0
Indian Institute of Technology Guwahati,W4401,Design,4271,5446,1854,3131,1160,1579,513,774,0,81,0,0,0,0,0,0
